load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.004
Random Initialization - No Saved Model
8192 Dense CMS torch.Size([8192, 51])
8192 Dense CMS torch.Size([8192, 409])
8192 Dense CMS torch.Size([8192, 1])
8192 Dense CMS torch.Size([8192, 1])
256 Dense CMS torch.Size([256, 409])
256 Dense CMS torch.Size([256, 1])
793471 CMS torch.Size([3, 52898, 256])
793471 CMS torch.Size([3, 52898, 256])
793471 Dense CMS torch.Size([793471, 1])
Epoch:   1 |  6500/39011 batches | lr 0.003867 | ms/batch 555.18 | loss  3.76 | ppl    43.14
Epoch:   1 |  6625/39011 batches | lr 0.003864 | ms/batch 551.35 | loss  3.75 | ppl    42.70
Epoch:   1 |  6750/39011 batches | lr 0.003862 | ms/batch 555.11 | loss  3.68 | ppl    39.63
Epoch:   1 |  6875/39011 batches | lr 0.003859 | ms/batch 555.87 | loss  3.74 | ppl    41.99
Epoch:   1 |  7000/39011 batches | lr 0.003856 | ms/batch 541.80 | loss  3.75 | ppl    42.57
Epoch:   1 |  7125/39011 batches | lr 0.003854 | ms/batch 560.55 | loss  3.73 | ppl    41.56
Epoch:   1 |  7250/39011 batches | lr 0.003851 | ms/batch 555.30 | loss  3.75 | ppl    42.62
Epoch:   1 |  7375/39011 batches | lr 0.003849 | ms/batch 545.80 | loss  3.71 | ppl    40.87
Epoch:   1 |  7500/39011 batches | lr 0.003846 | ms/batch 554.46 | loss  3.70 | ppl    40.53
Epoch:   1 |  7625/39011 batches | lr 0.003844 | ms/batch 558.69 | loss  3.68 | ppl    39.64
Epoch:   1 |  7750/39011 batches | lr 0.003841 | ms/batch 567.58 | loss  3.71 | ppl    40.88
Epoch:   1 |  7875/39011 batches | lr 0.003838 | ms/batch 555.97 | loss  3.68 | ppl    39.68
Epoch:   1 |  8000/39011 batches | lr 0.003836 | ms/batch 561.66 | loss  3.72 | ppl    41.43
Epoch:   1 |  8125/39011 batches | lr 0.003833 | ms/batch 557.26 | loss  3.74 | ppl    41.95
Epoch:   1 |  8250/39011 batches | lr 0.003831 | ms/batch 560.32 | loss  3.69 | ppl    39.98
Epoch:   1 |  8375/39011 batches | lr 0.003828 | ms/batch 557.90 | loss  3.69 | ppl    40.02
Epoch:   1 |  8500/39011 batches | lr 0.003826 | ms/batch 558.52 | loss  3.72 | ppl    41.38
Epoch:   1 |  8625/39011 batches | lr 0.003823 | ms/batch 562.41 | loss  3.66 | ppl    39.05
Epoch:   1 |  8750/39011 batches | lr 0.003821 | ms/batch 583.88 | loss  3.67 | ppl    39.24
Epoch:   1 |  8875/39011 batches | lr 0.003818 | ms/batch 586.96 | loss  3.69 | ppl    40.15
Epoch:   1 |  9000/39011 batches | lr 0.003815 | ms/batch 561.22 | loss  3.68 | ppl    39.65
Epoch:   1 |  9125/39011 batches | lr 0.003813 | ms/batch 564.66 | loss  3.67 | ppl    39.15
Epoch:   1 |  9250/39011 batches | lr 0.003810 | ms/batch 548.23 | loss  3.69 | ppl    40.24
Epoch:   1 |  9375/39011 batches | lr 0.003808 | ms/batch 565.08 | loss  3.65 | ppl    38.58
Epoch:   1 |  9500/39011 batches | lr 0.003805 | ms/batch 563.45 | loss  3.66 | ppl    38.75
Epoch:   1 |  9625/39011 batches | lr 0.003803 | ms/batch 562.17 | loss  3.67 | ppl    39.17
Epoch:   1 |  9750/39011 batches | lr 0.003800 | ms/batch 568.59 | loss  3.65 | ppl    38.29
Epoch:   1 |  9875/39011 batches | lr 0.003797 | ms/batch 573.14 | loss  3.66 | ppl    38.78
Epoch:   1 | 10000/39011 batches | lr 0.003795 | ms/batch 562.77 | loss  3.65 | ppl    38.33
Epoch:   1 | 10125/39011 batches | lr 0.003792 | ms/batch 553.37 | loss  3.65 | ppl    38.66
Epoch:   1 | 10250/39011 batches | lr 0.003790 | ms/batch 551.45 | loss  3.64 | ppl    37.99
Epoch:   1 | 10375/39011 batches | lr 0.003787 | ms/batch 553.27 | loss  3.62 | ppl    37.51
Epoch:   1 | 10500/39011 batches | lr 0.003785 | ms/batch 557.50 | loss  3.66 | ppl    38.81
Epoch:   1 | 10625/39011 batches | lr 0.003782 | ms/batch 556.13 | loss  3.66 | ppl    38.99
Epoch:   1 | 10750/39011 batches | lr 0.003780 | ms/batch 572.82 | loss  3.56 | ppl    35.18
Epoch:   1 | 10875/39011 batches | lr 0.003777 | ms/batch 559.15 | loss  3.62 | ppl    37.52
Epoch:   1 | 11000/39011 batches | lr 0.003774 | ms/batch 591.33 | loss  3.61 | ppl    37.14
Epoch:   1 | 11125/39011 batches | lr 0.003772 | ms/batch 592.88 | loss  3.64 | ppl    37.96
Epoch:   1 | 11250/39011 batches | lr 0.003769 | ms/batch 593.15 | loss  3.66 | ppl    38.97
Epoch:   1 | 11375/39011 batches | lr 0.003767 | ms/batch 592.78 | loss  3.64 | ppl    37.92
Epoch:   1 | 11500/39011 batches | lr 0.003764 | ms/batch 570.24 | loss  3.59 | ppl    36.08
Epoch:   1 | 11625/39011 batches | lr 0.003762 | ms/batch 571.13 | loss  3.65 | ppl    38.31
Epoch:   1 | 11750/39011 batches | lr 0.003759 | ms/batch 578.04 | loss  3.58 | ppl    35.71
Epoch:   1 | 11875/39011 batches | lr 0.003756 | ms/batch 552.71 | loss  3.59 | ppl    36.37
Epoch:   1 | 12000/39011 batches | lr 0.003754 | ms/batch 552.87 | loss  3.59 | ppl    36.41
Epoch:   1 | 12125/39011 batches | lr 0.003751 | ms/batch 557.00 | loss  3.61 | ppl    37.11
Epoch:   1 | 12250/39011 batches | lr 0.003749 | ms/batch 560.51 | loss  3.62 | ppl    37.38
Epoch:   1 | 12375/39011 batches | lr 0.003746 | ms/batch 548.64 | loss  3.63 | ppl    37.56
Epoch:   1 | 12500/39011 batches | lr 0.003744 | ms/batch 582.03 | loss  3.59 | ppl    36.23
Epoch:   1 | 12625/39011 batches | lr 0.003741 | ms/batch 565.52 | loss  3.56 | ppl    35.33
Epoch:   1 | 12750/39011 batches | lr 0.003739 | ms/batch 558.81 | loss  3.58 | ppl    36.04
Epoch:   1 | 12875/39011 batches | lr 0.003736 | ms/batch 555.92 | loss  3.55 | ppl    34.95
Epoch:   1 | 13000/39011 batches | lr 0.003733 | ms/batch 558.56 | loss  3.59 | ppl    36.08
Epoch:   1 | 13125/39011 batches | lr 0.003731 | ms/batch 568.29 | loss  3.63 | ppl    37.59
Epoch:   1 | 13250/39011 batches | lr 0.003728 | ms/batch 562.40 | loss  3.58 | ppl    35.74
Epoch:   1 | 13375/39011 batches | lr 0.003726 | ms/batch 553.56 | loss  3.63 | ppl    37.85
Epoch:   1 | 13500/39011 batches | lr 0.003723 | ms/batch 552.49 | loss  3.58 | ppl    36.05
Epoch:   1 | 13625/39011 batches | lr 0.003721 | ms/batch 564.44 | loss  3.52 | ppl    33.84
Epoch:   1 | 13750/39011 batches | lr 0.003718 | ms/batch 565.03 | loss  3.56 | ppl    35.05
Epoch:   1 | 13875/39011 batches | lr 0.003715 | ms/batch 560.83 | loss  3.56 | ppl    35.30
Epoch:   1 | 14000/39011 batches | lr 0.003713 | ms/batch 566.49 | loss  3.59 | ppl    36.34
Epoch:   1 | 14125/39011 batches | lr 0.003710 | ms/batch 554.70 | loss  3.56 | ppl    35.08
Epoch:   1 | 14250/39011 batches | lr 0.003708 | ms/batch 558.77 | loss  3.61 | ppl    36.98
Epoch:   1 | 14375/39011 batches | lr 0.003705 | ms/batch 562.10 | loss  3.58 | ppl    35.96
Epoch:   1 | 14500/39011 batches | lr 0.003703 | ms/batch 559.58 | loss  3.62 | ppl    37.48
Epoch:   1 | 14625/39011 batches | lr 0.003700 | ms/batch 583.67 | loss  3.59 | ppl    36.34
Epoch:   1 | 14750/39011 batches | lr 0.003698 | ms/batch 576.26 | loss  3.54 | ppl    34.38
Epoch:   1 | 14875/39011 batches | lr 0.003695 | ms/batch 548.48 | loss  3.58 | ppl    35.88
Epoch:   1 | 15000/39011 batches | lr 0.003692 | ms/batch 552.49 | loss  3.53 | ppl    34.19
Epoch:   1 | 15125/39011 batches | lr 0.003690 | ms/batch 552.80 | loss  3.58 | ppl    35.75
Epoch:   1 | 15250/39011 batches | lr 0.003687 | ms/batch 554.21 | loss  3.55 | ppl    34.73
Epoch:   1 | 15375/39011 batches | lr 0.003685 | ms/batch 553.73 | loss  3.58 | ppl    35.97
Epoch:   1 | 15500/39011 batches | lr 0.003682 | ms/batch 548.94 | loss  3.55 | ppl    34.77
Epoch:   1 | 15625/39011 batches | lr 0.003680 | ms/batch 551.03 | loss  3.54 | ppl    34.36
Epoch:   1 | 15750/39011 batches | lr 0.003677 | ms/batch 544.47 | loss  3.51 | ppl    33.41
Epoch:   1 | 15875/39011 batches | lr 0.003674 | ms/batch 549.43 | loss  3.53 | ppl    33.96
Epoch:   1 | 16000/39011 batches | lr 0.003672 | ms/batch 548.14 | loss  3.55 | ppl    34.81
Epoch:   1 | 16125/39011 batches | lr 0.003669 | ms/batch 551.93 | loss  3.53 | ppl    34.24
Epoch:   1 | 16250/39011 batches | lr 0.003667 | ms/batch 549.23 | loss  3.55 | ppl    34.86
