load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.004
Random Initialization - No Saved Model
| epoch   1 |  7125/39011 batches | lr 0.003854 | ms/batch 454.10 | loss  3.66 | ppl    38.97
| epoch   1 |  7250/39011 batches | lr 0.003851 | ms/batch 454.45 | loss  3.69 | ppl    40.20
| epoch   1 |  7375/39011 batches | lr 0.003849 | ms/batch 456.74 | loss  3.66 | ppl    38.94
| epoch   1 |  7500/39011 batches | lr 0.003846 | ms/batch 454.14 | loss  3.67 | ppl    39.29
| epoch   1 |  7625/39011 batches | lr 0.003844 | ms/batch 456.02 | loss  3.64 | ppl    37.96
| epoch   1 |  7750/39011 batches | lr 0.003841 | ms/batch 454.52 | loss  3.69 | ppl    39.96
| epoch   1 |  7875/39011 batches | lr 0.003838 | ms/batch 454.68 | loss  3.65 | ppl    38.29
| epoch   1 |  8000/39011 batches | lr 0.003836 | ms/batch 453.98 | loss  3.70 | ppl    40.63
| epoch   1 |  8125/39011 batches | lr 0.003833 | ms/batch 454.75 | loss  3.68 | ppl    39.76
| epoch   1 |  8250/39011 batches | lr 0.003831 | ms/batch 456.81 | loss  3.65 | ppl    38.61
| epoch   1 |  8375/39011 batches | lr 0.003828 | ms/batch 454.56 | loss  3.65 | ppl    38.54
| epoch   1 |  8500/39011 batches | lr 0.003826 | ms/batch 454.56 | loss  3.70 | ppl    40.32
| epoch   1 |  8625/39011 batches | lr 0.003823 | ms/batch 455.23 | loss  3.65 | ppl    38.37
| epoch   1 |  8750/39011 batches | lr 0.003821 | ms/batch 454.81 | loss  3.65 | ppl    38.39
| epoch   1 |  8875/39011 batches | lr 0.003818 | ms/batch 456.01 | loss  3.68 | ppl    39.51
| epoch   1 |  9000/39011 batches | lr 0.003815 | ms/batch 454.82 | loss  3.65 | ppl    38.37
| epoch   1 |  9125/39011 batches | lr 0.003813 | ms/batch 454.93 | loss  3.61 | ppl    36.83
| epoch   1 |  9250/39011 batches | lr 0.003810 | ms/batch 455.59 | loss  3.65 | ppl    38.29
| epoch   1 |  9375/39011 batches | lr 0.003808 | ms/batch 454.53 | loss  3.62 | ppl    37.35
| epoch   1 |  9500/39011 batches | lr 0.003805 | ms/batch 453.34 | loss  3.62 | ppl    37.31
| epoch   1 |  9625/39011 batches | lr 0.003803 | ms/batch 456.69 | loss  3.65 | ppl    38.33
| epoch   1 |  9750/39011 batches | lr 0.003800 | ms/batch 454.15 | loss  3.62 | ppl    37.42
| epoch   1 |  9875/39011 batches | lr 0.003797 | ms/batch 454.05 | loss  3.65 | ppl    38.42
| epoch   1 | 10000/39011 batches | lr 0.003795 | ms/batch 453.49 | loss  3.62 | ppl    37.41
| epoch   1 | 10125/39011 batches | lr 0.003792 | ms/batch 453.54 | loss  3.60 | ppl    36.68
| epoch   1 | 10250/39011 batches | lr 0.003790 | ms/batch 463.73 | loss  3.59 | ppl    36.29
| epoch   1 | 10375/39011 batches | lr 0.003787 | ms/batch 461.39 | loss  3.58 | ppl    35.94
| epoch   1 | 10500/39011 batches | lr 0.003785 | ms/batch 462.14 | loss  3.65 | ppl    38.46
| epoch   1 | 10625/39011 batches | lr 0.003782 | ms/batch 461.59 | loss  3.63 | ppl    37.71
| epoch   1 | 10750/39011 batches | lr 0.003780 | ms/batch 462.37 | loss  3.54 | ppl    34.62
| epoch   1 | 10875/39011 batches | lr 0.003777 | ms/batch 465.68 | loss  3.62 | ppl    37.18
| epoch   1 | 11000/39011 batches | lr 0.003774 | ms/batch 462.20 | loss  3.59 | ppl    36.19
| epoch   1 | 11125/39011 batches | lr 0.003772 | ms/batch 461.15 | loss  3.60 | ppl    36.43
| epoch   1 | 11250/39011 batches | lr 0.003769 | ms/batch 462.30 | loss  3.61 | ppl    36.90
| epoch   1 | 11375/39011 batches | lr 0.003767 | ms/batch 462.30 | loss  3.60 | ppl    36.55
| epoch   1 | 11500/39011 batches | lr 0.003764 | ms/batch 463.37 | loss  3.57 | ppl    35.37
| epoch   1 | 11625/39011 batches | lr 0.003762 | ms/batch 463.48 | loss  3.60 | ppl    36.75
| epoch   1 | 11750/39011 batches | lr 0.003759 | ms/batch 464.45 | loss  3.57 | ppl    35.43
| epoch   1 | 11875/39011 batches | lr 0.003756 | ms/batch 462.63 | loss  3.58 | ppl    35.90
| epoch   1 | 12000/39011 batches | lr 0.003754 | ms/batch 461.54 | loss  3.58 | ppl    36.03
| epoch   1 | 12125/39011 batches | lr 0.003751 | ms/batch 462.39 | loss  3.57 | ppl    35.69
