=> creating model 'resnet18'
learning_rate: 0.01
Epoch: [0][1750/5005]	Time 0.877 (0.487)	Data 0.769 (0.319)	Loss 5.1666 (6.0476)	Acc@1 7.812 (3.140)	Acc@5 21.484 (9.498)
Epoch: [0][1800/5005]	Time 0.222 (0.487)	Data 0.085 (0.320)	Loss 5.1441 (6.0243)	Acc@1 7.422 (3.270)	Acc@5 21.875 (9.819)
Epoch: [0][1850/5005]	Time 1.235 (0.487)	Data 1.102 (0.320)	Loss 5.1722 (6.0012)	Acc@1 9.375 (3.398)	Acc@5 20.312 (10.144)
Epoch: [0][1900/5005]	Time 0.222 (0.487)	Data 0.016 (0.320)	Loss 5.0844 (5.9781)	Acc@1 10.938 (3.532)	Acc@5 26.562 (10.456)
Epoch: [0][1950/5005]	Time 0.461 (0.487)	Data 0.358 (0.320)	Loss 5.0974 (5.9559)	Acc@1 9.766 (3.675)	Acc@5 23.047 (10.779)
Epoch: [0][2000/5005]	Time 0.222 (0.487)	Data 0.000 (0.320)	Loss 4.9979 (5.9338)	Acc@1 9.766 (3.819)	Acc@5 25.391 (11.104)
Epoch: [0][2050/5005]	Time 0.942 (0.487)	Data 0.839 (0.320)	Loss 5.1402 (5.9118)	Acc@1 8.203 (3.959)	Acc@5 23.438 (11.425)
Epoch: [0][2100/5005]	Time 0.222 (0.487)	Data 0.000 (0.320)	Loss 4.9831 (5.8906)	Acc@1 8.203 (4.099)	Acc@5 22.266 (11.737)
Epoch: [0][2150/5005]	Time 0.222 (0.487)	Data 0.000 (0.321)	Loss 5.1366 (5.8692)	Acc@1 10.547 (4.249)	Acc@5 23.047 (12.057)
Epoch: [0][2200/5005]	Time 0.231 (0.487)	Data 0.000 (0.320)	Loss 5.0130 (5.8482)	Acc@1 8.984 (4.389)	Acc@5 26.172 (12.367)
Epoch: [0][2250/5005]	Time 0.221 (0.487)	Data 0.000 (0.320)	Loss 5.0385 (5.8271)	Acc@1 10.156 (4.537)	Acc@5 20.312 (12.682)
Epoch: [0][2300/5005]	Time 0.244 (0.487)	Data 0.000 (0.320)	Loss 4.9058 (5.8059)	Acc@1 12.109 (4.687)	Acc@5 28.125 (13.001)
Epoch: [0][2350/5005]	Time 0.223 (0.487)	Data 0.000 (0.319)	Loss 4.6835 (5.7859)	Acc@1 12.891 (4.825)	Acc@5 31.250 (13.305)
Epoch: [0][2400/5005]	Time 0.217 (0.487)	Data 0.070 (0.318)	Loss 4.6837 (5.7656)	Acc@1 16.016 (4.977)	Acc@5 32.031 (13.627)
Epoch: [0][2450/5005]	Time 0.221 (0.487)	Data 0.000 (0.318)	Loss 4.8523 (5.7455)	Acc@1 10.156 (5.125)	Acc@5 28.516 (13.938)
Epoch: [0][2500/5005]	Time 1.105 (0.487)	Data 1.001 (0.318)	Loss 4.7207 (5.7266)	Acc@1 16.016 (5.267)	Acc@5 30.859 (14.223)
Epoch: [0][2550/5005]	Time 0.222 (0.487)	Data 0.000 (0.318)	Loss 4.5781 (5.7071)	Acc@1 15.234 (5.414)	Acc@5 30.859 (14.528)
Epoch: [0][2600/5005]	Time 0.691 (0.487)	Data 0.589 (0.318)	Loss 4.6839 (5.6877)	Acc@1 13.672 (5.559)	Acc@5 28.906 (14.822)
Epoch: [0][2650/5005]	Time 0.223 (0.487)	Data 0.000 (0.318)	Loss 4.8569 (5.6686)	Acc@1 10.938 (5.704)	Acc@5 28.125 (15.124)
Epoch: [0][2700/5005]	Time 0.222 (0.487)	Data 0.000 (0.318)	Loss 4.5872 (5.6499)	Acc@1 14.062 (5.850)	Acc@5 32.422 (15.417)
Epoch: [0][2750/5005]	Time 0.222 (0.487)	Data 0.000 (0.318)	Loss 4.4721 (5.6315)	Acc@1 13.672 (6.001)	Acc@5 33.203 (15.705)
Epoch: [0][2800/5005]	Time 0.220 (0.487)	Data 0.076 (0.318)	Loss 4.7451 (5.6129)	Acc@1 14.453 (6.161)	Acc@5 29.688 (16.012)
Epoch: [0][2850/5005]	Time 0.222 (0.487)	Data 0.000 (0.318)	Loss 4.3172 (5.5947)	Acc@1 14.844 (6.309)	Acc@5 39.453 (16.304)
Epoch: [0][2900/5005]	Time 1.153 (0.487)	Data 1.049 (0.318)	Loss 4.3382 (5.5766)	Acc@1 14.453 (6.462)	Acc@5 35.547 (16.586)
Epoch: [0][2950/5005]	Time 0.221 (0.487)	Data 0.000 (0.318)	Loss 4.3837 (5.5594)	Acc@1 15.625 (6.606)	Acc@5 41.406 (16.871)
Epoch: [0][3000/5005]	Time 0.243 (0.487)	Data 0.000 (0.318)	Loss 4.3123 (5.5415)	Acc@1 19.531 (6.756)	Acc@5 37.891 (17.163)
Epoch: [0][3050/5005]	Time 0.223 (0.487)	Data 0.000 (0.317)	Loss 4.3717 (5.5244)	Acc@1 15.625 (6.905)	Acc@5 37.891 (17.442)
Epoch: [0][3100/5005]	Time 0.219 (0.487)	Data 0.000 (0.317)	Loss 4.5214 (5.5074)	Acc@1 14.844 (7.050)	Acc@5 30.469 (17.720)
Epoch: [0][3150/5005]	Time 0.223 (0.487)	Data 0.000 (0.317)	Loss 4.5249 (5.4906)	Acc@1 15.234 (7.203)	Acc@5 33.203 (18.000)
Epoch: [0][3200/5005]	Time 0.220 (0.487)	Data 0.000 (0.317)	Loss 4.2658 (5.4738)	Acc@1 20.312 (7.354)	Acc@5 38.281 (18.272)
Epoch: [0][3250/5005]	Time 0.222 (0.487)	Data 0.000 (0.317)	Loss 4.2477 (5.4568)	Acc@1 17.969 (7.504)	Acc@5 39.062 (18.551)
Epoch: [0][3300/5005]	Time 0.371 (0.487)	Data 0.270 (0.317)	Loss 4.4397 (5.4410)	Acc@1 16.406 (7.638)	Acc@5 34.766 (18.807)
Epoch: [0][3350/5005]	Time 0.223 (0.487)	Data 0.000 (0.317)	Loss 4.4845 (5.4252)	Acc@1 14.844 (7.778)	Acc@5 33.203 (19.071)
Epoch: [0][3400/5005]	Time 1.273 (0.487)	Data 1.169 (0.317)	Loss 4.2226 (5.4093)	Acc@1 21.094 (7.927)	Acc@5 37.500 (19.328)
Epoch: [0][3450/5005]	Time 0.220 (0.487)	Data 0.000 (0.316)	Loss 4.3414 (5.3935)	Acc@1 16.406 (8.074)	Acc@5 38.281 (19.591)
Epoch: [0][3500/5005]	Time 0.943 (0.487)	Data 0.837 (0.316)	Loss 4.1968 (5.3779)	Acc@1 21.094 (8.211)	Acc@5 41.016 (19.855)
Epoch: [0][3550/5005]	Time 0.281 (0.487)	Data 0.176 (0.316)	Loss 4.1063 (5.3621)	Acc@1 18.750 (8.346)	Acc@5 40.625 (20.115)
Epoch: [0][3600/5005]	Time 0.220 (0.487)	Data 0.000 (0.317)	Loss 4.3043 (5.3468)	Acc@1 22.266 (8.486)	Acc@5 40.234 (20.369)
Epoch: [0][3650/5005]	Time 1.115 (0.487)	Data 1.013 (0.317)	Loss 4.3455 (5.3318)	Acc@1 15.625 (8.627)	Acc@5 38.281 (20.621)
Epoch: [0][3700/5005]	Time 0.221 (0.487)	Data 0.000 (0.317)	Loss 4.2328 (5.3167)	Acc@1 14.844 (8.768)	Acc@5 37.109 (20.870)
Epoch: [0][3750/5005]	Time 0.812 (0.487)	Data 0.709 (0.317)	Loss 4.1476 (5.3019)	Acc@1 23.828 (8.904)	Acc@5 40.234 (21.119)
Epoch: [0][3800/5005]	Time 0.221 (0.487)	Data 0.000 (0.317)	Loss 4.0580 (5.2872)	Acc@1 18.750 (9.041)	Acc@5 39.062 (21.364)
Epoch: [0][3850/5005]	Time 0.617 (0.487)	Data 0.514 (0.317)	Loss 4.2433 (5.2729)	Acc@1 18.359 (9.176)	Acc@5 38.672 (21.599)
Epoch: [0][3900/5005]	Time 0.223 (0.487)	Data 0.000 (0.317)	Loss 4.1912 (5.2585)	Acc@1 20.703 (9.313)	Acc@5 40.234 (21.842)
Epoch: [0][3950/5005]	Time 0.516 (0.487)	Data 0.414 (0.317)	Loss 4.0785 (5.2441)	Acc@1 25.781 (9.454)	Acc@5 42.969 (22.084)
Epoch: [0][4000/5005]	Time 0.242 (0.487)	Data 0.000 (0.317)	Loss 3.8464 (5.2298)	Acc@1 24.609 (9.593)	Acc@5 44.531 (22.329)
Epoch: [0][4050/5005]	Time 0.501 (0.487)	Data 0.398 (0.317)	Loss 4.1767 (5.2163)	Acc@1 17.188 (9.725)	Acc@5 41.016 (22.555)
Epoch: [0][4100/5005]	Time 0.222 (0.487)	Data 0.000 (0.318)	Loss 4.2428 (5.2020)	Acc@1 23.047 (9.865)	Acc@5 43.750 (22.807)
Epoch: [0][4150/5005]	Time 0.648 (0.487)	Data 0.546 (0.318)	Loss 4.0669 (5.1888)	Acc@1 19.141 (9.993)	Acc@5 38.672 (23.032)
Epoch: [0][4200/5005]	Time 0.218 (0.487)	Data 0.000 (0.318)	Loss 4.0781 (5.1751)	Acc@1 20.312 (10.127)	Acc@5 43.750 (23.265)
Epoch: [0][4250/5005]	Time 0.242 (0.487)	Data 0.000 (0.318)	Loss 3.9218 (5.1617)	Acc@1 23.828 (10.264)	Acc@5 47.266 (23.500)
Epoch: [0][4300/5005]	Time 0.222 (0.487)	Data 0.000 (0.318)	Loss 4.0347 (5.1484)	Acc@1 17.969 (10.396)	Acc@5 40.234 (23.722)
Epoch: [0][4350/5005]	Time 0.222 (0.487)	Data 0.000 (0.317)	Loss 4.2860 (5.1348)	Acc@1 21.094 (10.531)	Acc@5 38.281 (23.952)
Epoch: [0][4400/5005]	Time 0.221 (0.487)	Data 0.000 (0.317)	Loss 3.9327 (5.1220)	Acc@1 21.094 (10.658)	Acc@5 44.531 (24.168)
Epoch: [0][4450/5005]	Time 0.222 (0.487)	Data 0.000 (0.317)	Loss 3.7331 (5.1091)	Acc@1 25.781 (10.786)	Acc@5 47.266 (24.392)
Epoch: [0][4500/5005]	Time 0.219 (0.487)	Data 0.000 (0.317)	Loss 4.0433 (5.0967)	Acc@1 19.922 (10.908)	Acc@5 47.266 (24.607)
Epoch: [0][4550/5005]	Time 0.223 (0.487)	Data 0.000 (0.316)	Loss 4.0947 (5.0841)	Acc@1 21.484 (11.041)	Acc@5 41.016 (24.834)
Epoch: [0][4600/5005]	Time 0.223 (0.487)	Data 0.000 (0.316)	Loss 3.9914 (5.0721)	Acc@1 21.484 (11.165)	Acc@5 42.578 (25.042)
Epoch: [0][4650/5005]	Time 0.218 (0.487)	Data 0.000 (0.316)	Loss 3.7929 (5.0603)	Acc@1 19.531 (11.285)	Acc@5 49.609 (25.250)
Epoch: [0][4700/5005]	Time 0.223 (0.487)	Data 0.000 (0.316)	Loss 4.0297 (5.0483)	Acc@1 21.875 (11.409)	Acc@5 44.531 (25.458)
Epoch: [0][4750/5005]	Time 0.223 (0.486)	Data 0.000 (0.315)	Loss 3.9285 (5.0365)	Acc@1 25.000 (11.528)	Acc@5 45.703 (25.656)
Epoch: [0][4800/5005]	Time 0.222 (0.487)	Data 0.000 (0.315)	Loss 4.1227 (5.0242)	Acc@1 19.922 (11.655)	Acc@5 41.406 (25.868)
Epoch: [0][4850/5005]	Time 0.222 (0.486)	Data 0.000 (0.315)	Loss 3.8549 (5.0124)	Acc@1 26.953 (11.774)	Acc@5 44.922 (26.067)
Epoch: [0][4900/5005]	Time 0.222 (0.487)	Data 0.000 (0.315)	Loss 3.9167 (5.0004)	Acc@1 22.656 (11.898)	Acc@5 41.406 (26.275)
Epoch: [0][4950/5005]	Time 0.221 (0.487)	Data 0.000 (0.315)	Loss 3.5384 (4.9887)	Acc@1 30.078 (12.021)	Acc@5 50.000 (26.478)
Epoch: [0][5000/5005]	Time 0.221 (0.487)	Data 0.000 (0.315)	Loss 3.9101 (4.9771)	Acc@1 23.828 (12.139)	Acc@5 46.484 (26.680)
Test: [0/196]	Time 3.153 (3.153)	Loss 2.8190 (2.8190)	Acc@1 34.375 (34.375)	Acc@5 69.922 (69.922)
Test: [50/196]	Time 0.235 (0.630)	Loss 3.2935 (3.4931)	Acc@1 19.531 (26.264)	Acc@5 55.469 (50.950)
Test: [100/196]	Time 0.353 (0.615)	Loss 5.1770 (3.6376)	Acc@1 6.250 (24.780)	Acc@5 24.609 (48.828)
Test: [150/196]	Time 2.041 (0.617)	Loss 4.6885 (3.8038)	Acc@1 16.016 (23.600)	Acc@5 33.203 (46.655)
 * Acc@1 23.590 Acc@5 46.368
learning_rate: 0.01
Epoch: [1][0/5005]	Time 2.754 (2.754)	Data 2.624 (2.624)	Loss 4.1260 (4.1260)	Acc@1 23.047 (23.047)	Acc@5 41.016 (41.016)
Epoch: [1][50/5005]	Time 0.221 (0.526)	Data 0.000 (0.374)	Loss 3.9224 (3.8074)	Acc@1 25.000 (24.962)	Acc@5 40.625 (46.661)
Epoch: [1][100/5005]	Time 1.150 (0.512)	Data 1.049 (0.362)	Loss 3.7266 (3.8000)	Acc@1 25.000 (24.776)	Acc@5 47.266 (46.848)
Epoch: [1][150/5005]	Time 0.226 (0.501)	Data 0.000 (0.348)	Loss 3.8795 (3.7935)	Acc@1 21.875 (24.881)	Acc@5 44.141 (46.880)
Epoch: [1][200/5005]	Time 0.672 (0.498)	Data 0.569 (0.344)	Loss 3.8637 (3.7928)	Acc@1 25.000 (24.924)	Acc@5 45.703 (46.995)
Epoch: [1][250/5005]	Time 0.221 (0.497)	Data 0.000 (0.340)	Loss 3.8449 (3.7932)	Acc@1 26.172 (24.930)	Acc@5 45.312 (47.080)
Epoch: [1][300/5005]	Time 0.219 (0.498)	Data 0.000 (0.339)	Loss 3.6179 (3.7875)	Acc@1 27.344 (24.990)	Acc@5 50.391 (47.214)
Epoch: [1][350/5005]	Time 0.219 (0.500)	Data 0.000 (0.336)	Loss 3.8374 (3.7832)	Acc@1 21.875 (25.012)	Acc@5 45.703 (47.279)
Epoch: [1][400/5005]	Time 0.222 (0.500)	Data 0.000 (0.332)	Loss 3.6169 (3.7779)	Acc@1 26.953 (25.038)	Acc@5 52.344 (47.345)
Epoch: [1][450/5005]	Time 0.222 (0.500)	Data 0.000 (0.330)	Loss 3.9342 (3.7715)	Acc@1 23.047 (25.069)	Acc@5 46.094 (47.474)
